,Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Comments 1x ),Description_Translated,Description_Sentiment,Image_Text_Translated,Image_Text_Sentiment
10,Jair M. Bolsonaro,jairmessiasbolsonaro,25558261.0,2023-01-08 09:37:28 EST,2023-01-08,09:37:28,Photo,"1,328,437",1285949,42488,0,False,https://www.instagram.com/p/CnKGUbFLfyq/,https://www.instagram.com/p/CnKGUbFLfyq/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324217913_583105989981996_2978048896847176225_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=TBhvpX6auHcAX-6jgjf&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBKmJ_D8gpOPGwR5QZNaXtDY6kywuAQO5-xtbb5S5MqMQ&oe=6439CC3A,,"- Em quatro anos, o Ministério da Infraestrutura do Governo Jair Bolsonaro conclui 364 obras e garante cerca de R$ 117 bilhões para infraestrutura de transportes.

- Aplicação de recursos públicos e contratação de investimentos privados asseguram modernização da logística nacional de transporte em todo o Brasil e geram 2 milhões de novos empregos nos próximos anos.",,,,1.38,"- In four years, the Jair Bolsonaro government's Ministry of Infrastructure concludes 364 works and guarantees about R $ 117 billion for transport infrastructure.

- Application of public resources and hiring private investments ensure modernization of national transportation logistics throughout Brazil and generate 2 million new jobs in the coming years.",0.3818,Nan,0.0
11,Gustavo Gayer,gusgayer,550352.0,2023-01-07 16:14:41 EST,2023-01-07,16:14:41,Photo,"90,090",85497,4593,0,False,https://www.instagram.com/p/CnIO-41uRHl/,https://www.instagram.com/p/CnIO-41uRHl/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323797303_1524435504698217_5581097052234400801_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ENefOT98r_AAX8njvQo&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBhFdzs_wsAzw0g8uIOKoDLeea_ZcXreaTZh9iMR9fcLA&oe=63E1D33E,,agora ela vai ter que aprender a fazer o M de miliciano tb,MEU MARIDO É ADRÃO,,,3.04,Now she will have to learn how to do the militia,0.0,My husband is adrão,0.0
12,Magno Malta,magnomalta,1605519.0,2023-01-07 16:00:01 EST,2023-01-07,16:00:01,Photo,"58,295",54593,3702,0,False,https://www.instagram.com/p/CnINTcbpPUI/,https://www.instagram.com/p/CnINTcbpPUI/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324071995_476786277864888_6255684568339555048_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=JMTvtdQ-FBsAX8Zb-56&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAAetBSEMH7q3zj38S_U_3OgMkEck1HNqAT8fn2plJNDA&oe=63FE4F5A,,"O governo Lula acabou com a Secretaria Nacional de Cuidados e Prevenção às Drogas (SENAPRED), que foi criada em 2019 durante o governo Bolsonaro. Essa secretaria foi responsável por salvar mais de 50 mil pessoas do vício em drogas e foi ferramenta muito importante na luta contra o consumo de entorpecentes, que afeta tanto o nosso país.

Com o fim da SENAPRED, fico me perguntando: qual é a política que esse governo vai seguir em relação às drogas? Será que vão deixar o tráfico e o vício crescerem ainda mais no nosso país? Acho que já sabemos a resposta.

Não podemos deixar o vício em drogas destruir a vida de mais jovens e famílias no Brasil. Vamos continuar lutando pela prevenção e pelo cuidado com nossos filhos e comunidade para que nunca sigam o caminho das drogas e do crime.

#temquetercoragem",A Secretaria Nacional de Cuidados e Prevenção às Dr* Dr*gas gas (SENAPRED) deixa de existir. Cruz Azul no C no Brasil Brasi LUL4 MANDARÁ DEPENDENTES DE VOLTA PRAS RUAS? MAGNO MALTA,,,1.97,"The Lula government ended the National Secretariat for Drug Care and Prevention (Senapred), which was created in 2019 during the Bolsonaro government.This secretary was responsible for saving more than 50,000 people from drug addiction and was a very important tool in the fight against narcotics, which affects our country so much.

With the end of Senapred, I wonder: What policy will this government follow in drugs?Will they leave trafficking and addiction to grow even more in our country?I think we already know the answer.

We cannot leave drug addiction to destroy the lives of younger people and families in Brazil.We will continue to fight for prevention and care for our children and community so that they never follow the path of drugs and crime.

#Thektercorage",-0.2069,The National Secretariat for Care and Prevention of Dr* Dr* Gas (Senapred) ceases to exist.Cruz Azul no C in Brazil Brazil Lul4 will send dependents back to the streets?Malta Magno,0.25
13,Eduardo Bolsonaro🇧🇷,bolsonarosp,5007992.0,2023-01-07 15:24:38 EST,2023-01-07,15:24:38,Photo,"30,258",29402,856,0,False,https://www.instagram.com/p/CnIJQPMvWcv/,https://www.instagram.com/p/CnIJQPMvWcv/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323863208_583830823578713_4143441546306212465_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=6UTahrdVaK0AX9M8Cxa&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfB797FrdWQDEDfa2PYeNjyiFdL9ZbEJcxOlWIHQG51Y6w&oe=63FD32AB,,"O Brasil estava no caminho certo, até a OCDE (clube dos países ricos) elogiou programa de alfabetização do governo Bolsonaro.

Agora o Dilmo extinguiu a Secretaria de Alfabetização. Inacreditável. É o desmonte da alfabetização.

*Post de 2021
@carlosnadalim",,,,-3.46,"Brazil was on the right track, until the OECD (Club of Rich Countries) praised Bolsonaro government literacy program.

Now Dilmo has extinguished the Literacy Secretariat.Unbelievable.It is the dismantling of literacy.

*2021 post
@carlosnadalim",0.7783,Nan,0.0
14,Gustavo Gayer,gusgayer,550352.0,2023-01-07 14:12:13 EST,2023-01-07,14:12:13,Photo,"34,017",32725,1292,0,False,https://www.instagram.com/p/CnIA99PuP3v/,https://www.instagram.com/p/CnIA99PuP3v/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324158708_144702931714966_1346220646323400141_n.webp?stp=dst-jpg&_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=qURp7zu7XIEAX-hlCNH&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCJs6jkB2TvbHbrLBKNZW0YbzejUx_HulCsIy341hJRdg&oe=63E15CC9,,"Perfil criados apenas para mostar as merdas do desgoverno LULA
@desgovernolula_","@DESGOVERNOLULA Terra Brasil Notícias Deus Acima de Tudo de Todos. COM LULA, GASOLINA SOBE 3% FICA ACIMA DE R$ 5 NA PRIMEIRA SEMANA DE 2023, DIZ ANP ዳ Terra Brasil Notícias 8 janeiro 2023",,,1.15,"Profile created only to show the shit of the Lula mislobe
@desgovernolula_",0.7184,"@Desgovernolula Terra Brasil News God Above all of all.With Lula, gasoline rises 3% is over $ 5 in the first week of 2023, says ANP ዳ Terra Brasil News 8 January 2023",0.2732
15,Eduardo Bolsonaro🇧🇷,bolsonarosp,5007992.0,2023-01-07 12:19:21 EST,2023-01-07,12:19:21,Photo,"123,040",116429,6611,0,False,https://www.instagram.com/p/CnH0DOILFOW/,https://www.instagram.com/p/CnH0DOILFOW/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324074873_1850637441950184_3962975179162259088_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=z6h_iBRyBEEAX9Xxnp5&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDsLF8KIaTJobaftIjyn5JNIY95pp02b4Y9o7r-93EG4w&oe=63FD9E74,,"Vou protocolar na Comissão de Segurança Pública:

-convocação da ministra do turismo devido ao que circula sobre seu envolvimento com milícias.

-também entrarei com requerimento para convocar o MJ devido à grave fala de acionar forças estrangeiras contra as policiais brasileiros.","២ត២ Eduardo Bolsonaro e @BolsonaroSP 25s GETTR Vou protocolar na Comissão de Segurança Pública: -convocação da ministra do turismo devido ao que circula sobre seu envolvimento com milícias. -também entrarei com requerimento para convocar MJ devido à grave fala de acionar forças estrangeiras contra as policiais brasileiros Ferças Amadas SOMMEMEN meio ""Reprimir MINISTRA INDICADA manifestações"". PELO CENTRÃO, Após fala de Flavio CHEFE DE EFREIXO, Dino, conservadores É LIGADA A denunciam MILICIANO DO RIO convocação de policiais estrangeiros para atuar no Brasil",,,1.18,"I will file the Public Security Commission:

-Coning the Minister of Tourism due to what circulates about his involvement with militias.

-I will also enter with the request to summon the MJ due to the serious speech of triggering foreign forces against Brazilian police.",0.2732,"២ ត ២ Eduardo Bolsonaro and @bolsonarosp 25s Gettr I will file in the Public Security Commission: -Tourism Minister's Overall due to what is circulating about his involvement with militias.-I will also enter with the request to summon MJ due to the serious speech of triggering foreign forces against the Brazilian police officers beloved sommemen half ""repressed minister indicated manifestations"".For centrão, after speaking of Flavio Chief of Efreixo, Dino, conservatives is linked to reporting militia of Rio convening foreign police to work in Brazil",0.4767
16,Carlos Bolsonaro 🇧🇷,carlosbolsonaro,3041915.0,2023-01-07 09:22:40 EST,2023-01-07,09:22:40,Photo,"36,406",33165,3241,0,False,https://www.instagram.com/p/CnHf1N0ghlK/,https://www.instagram.com/p/CnHf1N0ghlK/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324245450_478479951114987_3069164990638974295_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=LKV5q0AxMXMAX_tzeuN&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDKHgjdm0ZvJkHrgS257VNn7ppmF5CJDFwsr20hjwt5Rw&oe=63F6DBDE,,"UÉ? Depois da milícia digital permitida, surge a milícia do amor!","FOLHA política Folha Política 'Nada relevante', diz Rui Costa sobre elo de ministra com milicianos folha.uol.com.br 'Nada relevante' diz Rui Costa sobre elo de ministra com milicianos 06/01/2023",,,-1.91,"HUH?After the allowed digital militia, the militia of love comes!",0.6696,"POLICY FOLHA POLICY POLICY 'Nothing relevant', says Rui Costa about Minister Link with militia shelha.uol.com.br 'Nothing relevant' says Rui Costa about Minister with militia 06/01/2023",0.0
17,Jair M. Bolsonaro,jairmessiasbolsonaro,25562581.0,2023-01-07 07:53:14 EST,2023-01-07,07:53:14,Photo,"682,406",660620,21786,0,False,https://www.instagram.com/p/CnHVmGLO0Tn/,https://www.instagram.com/p/CnHVmGLO0Tn/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323816361_434354935483982_6400749260056577822_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=RP0lDZSh8BgAX9l0Tdu&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBaUTfUzsw0nqHlArxCcvwyNBCzR-UdUucVcZU2D0lblQ&oe=649757FD,,"- Recorde de Vendas de Imóveis da União (menos gastos, direcionando para investimento onde interessa ao povo e responsabilidade com os recursos do contribuinte).

- Desde que o Governo Jair Bolsonaro (PL) assumiu até 2022 foram vendidos mais de 250 imóveis da União, que totalizaram mais de R$ 700 milhões.

- É uma alta de 93% na comparação com os ex-presidentes Michel Temer (MDB) e 72% com Dilma Rousseff (PT).",Recorde de vendas de imóveis da União.,,,-1.41,"- Record of Union real estate sales (less spending, directing to investment where the people are interested in and the taxpayer's resources).

- Since the Jair Bolsonaro (PL) government has taken over by 2022 more than 250 Union properties have been sold, which totaled more than R $ 700 million.

- It is a 93% increase compared to former presidents Michel Temer (MDB) and 72% with Dilma Rousseff (PT).",0.6124,Union real estate sales record.,0.0
18,Rodrigo Constantino,rodrigoconstantino1976,1447657.0,2023-01-06 19:20:31 EST,2023-01-06,19:20:31,Photo,"1,123",1052,71,0,False,https://www.instagram.com/p/CnF_dEMp4x_/,https://www.instagram.com/p/CnF_dEMp4x_/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324165591_5992780934170623_1838922568802165147_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=MXWa0sh2hm8AX8Uclzc&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfA8QbJnlgC8jTOnnGJXgxH-ZbFKIzys5wjNg7wDgcy6MA&oe=63FD3C5B,,Vai vendo…,"OPERAMUND Isa MaRiA Pergunta importante. Muito bom Breno! Quer ganhar um exemplar autografado de ""HABI Leonardo Boff: Lula me disse que é última chance que tem de fazer uma revolução...",,,-19.87,Keep looking…,0.0,"Operamund Isa Maria important question.Very good Breno!Want to win an autographed copy of ""Habea Leonardo Boff: Lula told me that it is the last chance that has to make a revolution ...",0.8687
19,Rodrigo Constantino,rodrigoconstantino1976,1447657.0,2023-01-06 18:44:23 EST,2023-01-06,18:44:23,Photo,"2,173",1999,174,0,False,https://www.instagram.com/p/CnF7UZqpyEe/,https://www.instagram.com/p/CnF7UZqpyEe/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324231400_430598539195459_4324383880345688047_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=XsqIOi32fFsAX_DstBU&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBqQScV8mLM17rqmKn5h3LLVJt0CSVVHB-cJ49j_H_LUg&oe=63FAF65F,,🤣🤣🤣🤣🤣,"""ALEXA! MINISTRO 0 DA TRABALHO FAZENDA?"" DO QUAL DUMINISTRO GLAGABIOT",,,-10.56,🤣🤣🤣🤣🤣,0.9432,"""Alexa! Minister 0 of the farm work?""Of which Duminister Glagabiot",0.0
20,Rodrigo Constantino,rodrigoconstantino1976,1447657.0,2023-01-06 14:58:26 EST,2023-01-06,14:58:26,Photo,962,925,37,0,False,https://www.instagram.com/p/CnFhdeIJ7gi/,https://www.instagram.com/p/CnFhdeIJ7gi/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324062231_870743427406106_2893080639420948261_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=zz5hGjAWwLUAX9pDzJH&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBZOnP_t9IrO5MkGgrJjnN64eXo50NsgrECfwgk1XMJYg&oe=63F49C33,,"É isso, Frouxo? 🤷‍♂️",TRSPA DE OINIMIGO AGORA PARÇA,,,-23.85,Is that loose?🤷‍♂️,-0.3182,Enemy troop now,-0.5423
21,Bolsonaro TV,bolsonaro.tv,1009630.0,2023-01-06 13:32:56 EST,2023-01-06,13:32:56,Photo,"93,468",90826,2642,0,False,https://www.instagram.com/p/CnFXrTjLx6t/,https://www.instagram.com/p/CnFXrTjLx6t/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323801674_5866059913476668_5536740989837131231_n.webp?stp=dst-jpg&_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=KZAMZ3CdaQ0AX90CPwW&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBMmiJCoa8lF4_gWV3XjNy6SOH8JBRVX9mbgo_9dfMbxA&oe=6437E26E,,,,,,1.59,Nan,0.0,Nan,0.0
22,Oscar Magrini,oscarmagrini,467183.0,2023-01-06 11:32:15 EST,2023-01-06,11:32:15,Photo,"13,273",11678,1595,0,False,https://www.instagram.com/p/CnFJ3YGr_kA/,https://www.instagram.com/p/CnFJ3YGr_kA/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323822260_1340568259817421_7961249541492032819_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=aCyz7iiMN1sAX9XhLm8&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCc2QYxwSJH_jqfXCMl7h6FW6MIfhVNFm4kGnVEJWR4Bg&oe=643C4B03,,"Bom diaaaaaa… o importante é saber envelhecer…🙂😉😄😄🥰🥰 hoje e o Ralph em 1996 💪💪🙃🙃😂😂 
#oscarmagrini",,,,7.51,"Good diaaaaaa… The important thing is to know how to grow old… 🙂😉😄😄🥰🥰 Today and Ralph in 1996 💪💪🙃🙃😂😂
#Scarmagrini",0.9889,Nan,0.0
