Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Comments 1x ),Description_Translated,Description_Sentiment,Image_Text_Translated,Image_Text_Sentiment
Jose Vasconcelos Viana,josevasconcelosviana,,2023-01-07 18:34:41 EST,2023-01-07,18:34:41,Photo,154,146,8,0,False,https://www.instagram.com/p/CnIfASss1Y4/,https://www.instagram.com/p/CnIfASss1Y4/,,,"VOCÊ VAI DE QUAL REGIÃO DO BRASIL?
.
.
.
.
.
.
.
.
.
.
.

.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#alexandredemoraes #Moraes #Alexandre #urnaseletronicaséfraude #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes #feliznatal #Natal #oladraonaosobearampa #artigo142 #quartéis #intervencaofederal #intervencaomilitar #bolsonaropreso",José Vasconcelos Viana @va.... 2min Amanhã Brasília vai estar linda. Verde e amarela! Mais um dia que vai entrar para a história da luta de um povo que clama por liberdade e democracia. #LulaLadraoSeuLugarENaPrisao ×,,,-1.68,"Which region of Brazil?
.
.
.
.
.
.
.
.
.
.
.

.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#AlexandreDeMoraes #moraes #Alexandre #UrnaSelectronicséFraude #Manifestations #GrevedCaminhoes #Allates #Foraxandão #Lula #Bolsonaro #copadomundo #haddad #Pauloges #Felizenatal #Natal #OladroSOBEAMPAPA ropper",0.0,José Vasconcelos Viana @va .... 2min tomorrow Brasilia will be beautiful.Green and yellow!Another day that will enter the history of the struggle of a people who cry out for freedom and democracy.#Lulandaroseulgarenaprisa ×,-0.126
WESLEY ROS,wesleyros,281892.0,2023-01-07 18:27:19 EST,2023-01-07,18:27:19,Photo,"13,084",12768,316,0,False,https://www.instagram.com/p/CnIeKQuJY6G/,https://www.instagram.com/p/CnIeKQuJY6G/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324231195_193761939876626_6289972150137003398_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=DFCmvE1J5GQAX95JnPF&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDkXX6TG38HJp67NRubvLiGDxuqiddjHT1rVJr8Omambw&oe=64955E03,,Alguém arrisca explicar???? 🤷🏾‍♂️,Alguém sabe explicar??? Eleitores do lula podem andar armados Do Bolsonaro NÃO!! Siga @wesleyros,,,3.07,Someone risks explaining ????🤷🏾‍♂️,-0.4696,Can anyone explain ???Lula voters can walk Bolsonaro not !!Follow @wesleyros,0.0
SARGENTO RODRIGUES,sargentorodriguesoficial,22983.0,2023-01-07 12:00:10 EST,2023-01-07,12:00:10,Photo,364,155,209,0,False,https://www.instagram.com/p/CnHx2oXMFgC/,https://www.instagram.com/p/CnHx2oXMFgC/,https://scontent-sea1-1.cdninstagram.com/v/t39.30808-6/323784574_2490430421112742_5649847290675662668_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=5B2cgP4szzwAX-4JTM2&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfD1QlcrGZdIgTijrHJ5kDt_lG55Hwp2pZJRfhGJ5Tb5ow&oe=649483F4,,"Em 2022 apresentamos muitos requerimentos e projetos, sempre pensando nos servidores da segurança pública e nos cidadãos mineiros. Assim como em 2022, também acontece nos demais anos. Veja os números!",ATIVIDADE PARLAMENTAR 2022 THK LEIS SANCIONADAS 2 6 PROJETOS EM TRAMITAÇÃO 277 REQUERIMENTOS APRESENTADOS R ODRIGUES SARG SARGENTO DEPUTADOESTADUAL,,,1.1,"In 2022 we submit many requirements and projects, always thinking about public safety servers and mining citizens.As in 2022, it also happens in the other years.See the numbers!",0.4753,Parliamentary Activity 2022 THK Sanctioned Laws 2 6 Projects in processing 277 Requirements presented R ODRIGUES SARG SARGENTO MP SERVICE,0.0
Josafá Ramos,josafarramos,,2023-01-07 08:16:10 EST,2023-01-07,08:16:10,Photo,124,87,37,0,False,https://www.instagram.com/p/CnHYOGFusu3/,https://www.instagram.com/p/CnHYOGFusu3/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324217331_683396283424629_3204196824129840451_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ZYKTtqYDq0kAX_DVloz&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBJZwQP_yGgPx3QX49KpfbpfJufsU-EDTTmQOF7BD34MQ&oe=64958771,,Da sacada QG…,"Só prá lemlbrar. ""UM BOM CIDADÃO não aceita ladrão na frente da Nação!""",,,2.0,From the balcony QG…,0.0,"Just to remember.""A good citizen does not accept thief in front of the nation!""",0.5837
Josafá Ramos,josafarramos,,2023-01-06 19:48:56 EST,2023-01-06,19:48:56,Photo,79,65,14,0,False,https://www.instagram.com/p/CnGCtMBOWEe/,https://www.instagram.com/p/CnGCtMBOWEe/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/322699512_156122983842706_1855316303535844341_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ABSr4hKboSwAX_etLby&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBeJ5Z4Zft_0jub0bTZLMWDFc8wZtoc_kMUbAcNNIw4TA&oe=64951E8F,,"Registro do ano passado, @mulheres_patriotasro … Você passou pelos baianos deixando marca forte desse fenômeno verde-amarelo, que tanto nos aproxima por afinidades #patriotas #sosforcasarmadassalvemobrasil com @luissilva12144",,,,1.03,"Last year's record, @mulheres_patriotasro… You passed the Bahians leaving a strong mark of this yellow-green phenomenon, which brings us closer to affinities #sosforcasardassalmobrasil with @luissilva12144",0.5106,Nan,0.0
Jose Vasconcelos Viana,josevasconcelosviana,,2023-01-06 18:29:11 EST,2023-01-06,18:29:11,Photo,198,170,28,0,False,https://www.instagram.com/p/CnF5lJzsgry/,https://www.instagram.com/p/CnF5lJzsgry/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323895073_3406694856266819_5432913306391736865_n.webp?stp=dst-jpg&_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=K_ZQ3rCttuYAX9UHHCN&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCFRbm1T72KgUPCVyayCYHmQscyh2Ef6M3zcEiC5agNvg&oe=64954028,,"COMO ASSIM?
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#alexandredemoraes #Moraes #Alexandre #urnaseletronicaséfraude #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes #feliznatal #Natal #oladraonaosobearampa #artigo142 #quartéis #intervencaofederal #intervencaomilitar #bolsonaropreso.","POLÍTICA 13 RACISMO? AO FALAR EM DIVERSIDADE, SIMONE TEBET DIZ QUE É ""DIFÍCIL"" CONTRATAR MULHERES PRETAS PORTAL JVV NOTÍCIAS SIGA @JVVNEWS NAS REDES SOCIAIS. ACESSE WWW.JVVNEWS.COM.BR",,,-1.36,"LIKE THIS?
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#AlexandreDeMoraes #moraes #Alexandre #UrnaSelectronicséFraude #Manifestations #GrevedCaminhoes #Allates #Foraxandão #Lula #Bolsonaro #copadomundo #haddad #Pauloges #Felizenatal #Natal #OladroSOBEAMPAPA Ropreso.",0.4995,"Politics 13 racism?Speaking of diversity, Simone Tebet says it is ""difficult"" to hire black women portal JVV News follow @jvvnews on social networks.Visit www.jvvnews.com.br",-0.3612
Dayane Muhammad,daymuhammad,,2023-01-06 18:23:42 EST,2023-01-06,18:23:42,Album,907,859,48,0,False,https://www.instagram.com/p/CnF486SJ8zU/,https://www.instagram.com/p/CnF486SJ8zU/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323754496_547277200776711_7518143846971583387_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=AScsF4G1a8EAX9JlEvL&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfB7QcyWLupORUgDjft6DEGSl8AjPGxG7_-Clb9qn6ixUA&oe=64968447,,"Essa São Silvestre foi um milagre 🙌🏻!

Sem treino, sem preparo, só na mente e por Deus mesmo!

Foi a minha segunda São Silvestre e minha segunda corrida na vida! Pra ver como nada é impossível 🇧🇷💚

Quem viu as lives que eu fiz durante a corrida? Me conta! 👇🏻

Ainda tem algumas aqui no feed! 🇧🇷",,,,4.77,"This São Silvestre was a miracle 🙌🏻!

Without training, without preparation, only in the mind and by God!

It was my second São Silvestre and my second race in life!To see how impossible is nothing 🇧🇷💚

Who saw the lives I did during the race?Tell me!👇🏻

There are still some here on the feed!🇧🇷",0.5719,Nan,0.0
Jose Vasconcelos Viana,josevasconcelosviana,,2023-01-06 15:13:51 EST,2023-01-06,15:13:51,Photo,87,80,7,0,False,https://www.instagram.com/p/CnFjOfsp5EH/,https://www.instagram.com/p/CnFjOfsp5EH/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323792811_879114583132586_7687764411899058832_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=lrZGn5xnricAX-4xYRF&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfC5VIQ_eeg3AFtQx5Q0eBOso7y7K1zTeDRlkbroIDsiVw&oe=64956FB0,,"Saudades da @michellebolsonaro 
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#alexandredemoraes #Moraes #Alexandre #urnaseletronicaséfraude #manifestações #grevedoscaminhoneiros #allandossantos #foraxandão #Lula #Bolsonaro #copadomundo #Haddad #pauloguedes #feliznatal #Natal #oladraonaosobearampa #artigo142 #quartéis #intervencaofederal #intervencaomilitar #bolsonaropreso","GUUTE José Vasconcelos Viana @va... ·1mn 1mi Tudo incomoda a dona Janja, menos os casos de corrupção que envolvem o próprio marido. 山 #LulaLadraoSeuLugarENaPrisao ×",,,-3.92,"Miss @michellebolsonaro
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#AlexandreDeMoraes #moraes #Alexandre #UrnaSelectronicséFraude #Manifestations #GrevedCaminhoes #Allates #Foraxandão #Lula #Bolsonaro #copadomundo #haddad #Pauloges #Felizenatal #Natal #OladroSOBEAMPAPA ropper",-0.1531,"GUUTE JOSÉ VASCONCELOS VIANA @VA ... · 1MN 1MI Everything bothers Dona Janja, except the corruption cases involving her husband.山 #lulandaroseulgarenaprisa ×",-0.2023
Josafá Ramos,josafarramos,,2023-01-06 12:20:54 EST,2023-01-06,12:20:54,Video,44,35,9,1326,False,https://www.instagram.com/tv/CnFPAsrjokA/,https://www.instagram.com/tv/CnFPAsrjokA/,https://scontent-sea1-1.cdninstagram.com/v/t51.36329-15/323696927_3433972900214247_7554101657251387127_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=C2xNgzqUTGcAX91mXo7&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAtKkipAF8zs2Bm-uC3PexmIfRSemmKNXWSor6Ngb67bw&oe=64941F28,,Srª Hilda uma das referências do QG e SOS Forças Armadas.,,,,1.13,Mrs. Hilda One of the QG references and SOS Armed Forces.,0.0,Nan,0.0
Núbia Modista,nubiamodista,,2023-01-06 09:59:16 EST,2023-01-06,09:59:16,Photo,31,12,19,0,False,https://www.instagram.com/p/CnE_Oaeu_CX/,https://www.instagram.com/p/CnE_Oaeu_CX/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323697513_742858666785176_1830174833564701088_n.webp?stp=dst-jpg&_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=x4zpRiyqGEcAX9OQovs&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAYf8sYBNa5Qt2azD-7zpgMR38oV3P_41JuSDeG1u7PqQ&oe=649505B8,,"Feliz aniversário meu bebê milagre 🎂
Tia te amaaaa",,,,-3.35,"Happy Birthday My Baby Miracle 🎂
Aunt te amaaaa",0.8176,Nan,0.0
SARGENTO RODRIGUES,sargentorodriguesoficial,22986.0,2023-01-06 07:31:00 EST,2023-01-06,07:31:00,Photo,722,473,249,0,False,https://www.instagram.com/p/CnEuQcdLXmA/,https://www.instagram.com/p/CnEuQcdLXmA/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/324160659_498533655699147_995977964022588594_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Ww7ifbHTVzcAX8DoObf&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfC0FeDEUwf3oav62e1br_02czOu_BZllFS3kFMW1trmlA&oe=6494DBB2,,Não há como comparar!,NENHUM PROCESSO 1.890 1 PROCESSOS SOS,,,2.19,There is no way to compare!,-0.3595,"No process 1,890 1 SOS processes",-0.296
André da Maria Gorda,andremariagorda,364008.0,2023-01-05 21:34:23 EST,2023-01-05,21:34:23,Photo,42,0,42,0,True,https://www.instagram.com/p/CnDp-qNtnuy/,https://www.instagram.com/p/CnDp-qNtnuy/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/323577139_1276435069944019_6123925189862096188_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=bRCRgPDpUrEAX9EvehL&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBL49CpdNuqIbWoq-gSPcOWmShueQmipY6-GFOJg00ZZA&oe=6496FAF2,,"Boa noite!!!
🇧🇷 Brasil 🇧🇷 Brasil 🇧🇷",,,,-1.5,"Goodnight!!!
🇧🇷 Brazil 🇧🇷 Brazil 🇧🇷",0.0,Nan,0.0
